date,time,bar,moves,edge,open,close,day
2018-06-21,20:04:00,374,22,0,1,0,1
2018-06-21,20:14:00,375,21.5,0,1,0,1
2018-06-21,20:24:00,376,21.5,0,1,0,1
2018-06-21,20:34:00,377,21.5,0,1,0,1
2018-06-21,20:44:00,378,21.5,0,1,0,1
2018-06-21,20:54:00,379,22.5,0,1,0,1
2018-06-21,21:04:00,380,22,0,1,0,1
2018-06-21,21:14:00,381,20.5,0,1,0,1
2018-06-21,21:24:00,382,19,0,1,0,1
2018-06-21,21:34:00,383,19,0,1,0,1
2018-06-21,21:44:00,384,20.5,0,1,0,1
2018-06-21,21:54:00,385,20,0,1,0,1
2018-06-21,22:04:00,386,18,0,1,0,1
2018-06-21,22:14:00,387,18.5,0,1,0,1
2018-06-21,22:24:00,388,20,0,1,0,1
2018-06-21,22:34:00,389,20,0,1,0,1
2018-06-21,22:44:00,390,19.5,0,1,0,1
2018-06-21,22:54:00,391,23.5,0,1,0,1
2018-06-21,23:04:00,392,27.5,0,1,0,1
2018-06-21,23:14:00,393,23.5,0,1,0,1
2018-06-21,23:24:00,394,20.5,0,1,0,1
2018-06-21,23:34:00,395,21,0,1,0,1
2018-06-21,23:44:00,396,21.5,0,1,0,1
2018-06-21,23:54:00,397,26,0,1,0,1
2018-06-22,00:04:00,398,29.5,0,1,0,1
2018-06-22,00:14:00,399,25,0,1,0,1
2018-06-22,00:24:00,400,20.5,0,1,0,1
2018-06-22,00:34:00,401,25,0,1,0,1
2018-06-22,00:44:00,402,30,0,1,0,1
2018-06-22,00:54:00,403,27,0,1,0,1
2018-06-22,01:04:00,404,23.5,0,1,0,1
2018-06-22,01:14:00,405,23,0,1,0,1
2018-06-22,01:24:00,406,22.5,0,1,0,1
2018-06-22,01:34:00,407,23,0,1,0,1
2018-06-22,01:44:00,408,26,0,1,0,1
2018-06-22,01:54:00,409,28.5,0,1,0,1
2018-06-22,02:04:00,410,29,0,1,0,1
2018-06-22,02:14:00,411,29.5,0,1,0,1
2018-06-22,02:24:00,412,30,0,1,0,1
2018-06-22,02:34:00,413,26.5,0,1,0,1
2018-06-22,02:44:00,414,23.5,0,1,0,1
2018-06-22,02:54:00,415,26,0,1,0,1
2018-06-22,03:04:00,416,28.5,0,1,0,1
2018-06-22,03:14:00,417,26,0,1,0,1
2018-06-22,03:24:00,418,23,0,1,0,1
2018-06-22,03:34:00,419,23.5,0,1,0,1
2018-06-22,03:44:00,420,23.5,0,1,0,1
2018-06-22,03:54:00,421,26,0,1,0,1
2018-06-22,04:04:00,422,28,0,1,0,1
2018-06-22,04:14:00,423,25,0,1,0,1
2018-06-22,04:24:00,424,23.5,0,1,0,1
2018-06-22,04:34:00,425,22,0,1,0,1
2018-06-22,04:44:00,426,21.5,0,1,0,1
2018-06-22,04:54:00,427,26.5,0,1,0,1
2018-06-22,05:04:00,428,29.5,0,1,0,1
2018-06-22,05:14:00,429,25.5,0,1,0,1
2018-06-22,05:24:00,430,25,0,1,0,1
2018-06-22,05:34:00,431,27.5,0,1,0,1
2018-06-22,05:44:00,432,25,0,1,0,1
2018-06-22,05:54:00,433,26.5,0,1,0,1
2018-06-22,06:04:00,434,30,0,1,0,1
2018-06-22,06:14:00,435,28,0,1,0,1
2018-06-22,06:24:00,436,25,0,1,0,1
2018-06-22,06:34:00,437,24.5,0,1,0,1
2018-06-22,06:44:00,438,25,0,1,0,1
2018-06-22,06:54:00,439,27,0,1,0,1
2018-06-22,07:04:00,440,28.5,0,1,0,1
2018-06-22,07:14:00,441,27,0,1,0,1
2018-06-22,07:24:00,442,26,0,1,0,1
2018-06-22,07:34:00,443,26,0,1,0,1
2018-06-22,07:44:00,444,27,0,1,0,1
2018-06-22,07:54:00,445,27.5,0,1,0,1
2018-06-22,08:04:00,446,27,0,1,0,1
2018-06-22,08:14:00,447,28,0,1,0,1
2018-06-22,08:24:00,448,28.5,0,1,0,1
2018-06-22,08:34:00,449,26.5,0,1,0,1
2018-06-22,08:44:00,450,24.5,0,1,0,1
2018-06-22,08:54:00,451,26.5,0,1,0,1
2018-06-22,09:04:00,452,27,0,1,0,1
2018-06-22,09:14:00,453,24,0,1,0,1
2018-06-22,09:24:00,454,23.5,0,1,0,1
2018-06-22,09:34:00,455,24,0,1,0,1
2018-06-22,09:44:00,456,23,0,1,0,1
2018-06-22,09:54:00,457,24.5,0,1,0,1
2018-06-22,10:04:00,458,28,0,1,0,1
2018-06-22,10:14:00,459,25.5,0,1,0,1
