Manager,Ticker,Outright,LookThrough,Sector,SuperSector,Industry,Return,SuperSectorIndex,SuperSectorIndexReturn
DH,RF FP Equity,0,-0.3,Financial Services,Financial Services,Financials,0.4658385,SXFP Index,0.905816
DH,RHM GR Equity,0,-1,Aerospace & Defense,Industrial Goods & Services,Industrials,2.481122,SXNP Index,0.650126
DH,RI FP Equity,0,-7.2,Beverages,Food & Beverage,Consumer Goods,-0.4671218,SX3P Index,1.030116
DH,RMG LN Equity,0,-0.6,Industrial Transportation,Industrial Goods & Services,Industrials,-0.8231279,SXNP Index,0.650126
DH,RNO FP Equity,0,-3.7,Automobiles & Parts,Automobiles & Parts,Consumer Goods,0.166021,SXAP Index,0.5500247
DH,ROG SW Equity,0,-4.6,Pharmaceuticals & Biotechnology,Health Care,Health Care,1.415525,SXDP Index,0.9666694
DH,ROR LN Equity,0,-0.3,Industrial Engineering,Industrial Goods & Services,Industrials,0.7854985,SXNP Index,0.650126
DH,RPC LN Equity,0,-0.4,General Industrials,Industrial Goods & Services,Industrials,0.2752546,SXNP Index,0.650126
DH,RR/ LN Equity,0,-2.2,Aerospace & Defense,Industrial Goods & Services,Industrials,0.3692308,SXNP Index,0.650126
DH,RTO LN Equity,0,-0.8,Support Services,Industrial Goods & Services,Industrials,1.519135,SXNP Index,0.650126
DH,RXL FP Equity,0,-0.4,Electronic & Electrical Equipment,Industrial Goods & Services,Industrials,0.08200082,SXNP Index,0.650126
DH,SAABB SS Equity,0,-0.2,Aerospace & Defense,Industrial Goods & Services,Industrials,-0.70864,SXNP Index,0.650126
DH,SAB SM Equity,115.6,-1.7,Banks,Banks,Financials,0.7425743,SX7P Index,0.6701741
DH,SAF FP Equity,0,-4.3,Aerospace & Defense,Industrial Goods & Services,Industrials,0.342131,SXNP Index,0.650126
DH,SAN FP Equity,0,-3.5,Pharmaceuticals & Biotechnology,Health Care,Health Care,1.758721,SXDP Index,0.9666694
DH,SAN SM Equity,75.4,-16.3,Banks,Banks,Financials,1.09589,SX7P Index,0.6701741
DH,SAND SS Equity,0,-1.8,Industrial Engineering,Industrial Goods & Services,Industrials,-0.3539253,SXNP Index,0.650126
DH,SAP GR Equity,0,-1.1,Software & Computer Services,Technology,Technology,-0.3633061,SX8P Index,0.2669742
DH,SCHP SW Equity,0,-0.8,Industrial Engineering,Industrial Goods & Services,Industrials,1.990521,SXNP Index,0.650126
DH,SECUB SS Equity,0,-0.5,Support Services,Industrial Goods & Services,Industrials,-0.4450531,SXNP Index,0.650126
DH,SGO FP Equity,0,-0.2,Construction & Materials,Construction & Materials,Industrials,0.9653531,SXOP Index,0.8841428
DH,SGRE SM Equity,0,-0.7,Alternative Energy,Oil & Gas,Oil & Gas,1.642984,SXEP Index,1.100116
DH,SGSN SW Equity,0,-1.2,Support Services,Industrial Goods & Services,Industrials,1.112817,SXNP Index,0.650126
DH,SHA GR Equity,0,-0.5,Automobiles & Parts,Automobiles & Parts,Consumer Goods,1.174345,SXAP Index,0.5500247
DH,SHL GR Equity,0,-0.2,Health Care Equipment & Services,Health Care,Health Care,-0.8299339,SXDP Index,0.9666694
DH,SHP LN Equity,0,-1.5,Pharmaceuticals & Biotechnology,Health Care,Health Care,1.067616,SXDP Index,0.9666694
DH,SIE GR Equity,0,-11.1,General Industrials,Industrial Goods & Services,Industrials,0.4076568,SXNP Index,0.650126
DH,SKFB SS Equity,0,-0.6,Industrial Engineering,Industrial Goods & Services,Industrials,1.680929,SXNP Index,0.650126
DH,SKG ID Equity,0,-0.8,General Industrials,Industrial Goods & Services,Industrials,0.1737116,SXNP Index,0.650126
DH,SMDS LN Equity,0,-0.6,General Industrials,Industrial Goods & Services,Industrials,0.2371542,SXNP Index,0.650126
DH,SMIN LN Equity,0,-0.8,General Industrials,Industrial Goods & Services,Industrials,0.5703993,SXNP Index,0.650126
DH,SN/ LN Equity,0,-0.5,Health Care Equipment & Services,Health Care,Health Care,-0.8945211,SXDP Index,0.9666694
DH,SOBI SS Equity,0,-0.1,Pharmaceuticals & Biotechnology,Health Care,Health Care,2.441558,SXDP Index,0.9666694
DH,SOON SW Equity,0,-0.3,Health Care Equipment & Services,Health Care,Health Care,0.9174312,SXDP Index,0.9666694
DH,SPIE FP Equity,23.2,-0.2,Support Services,Industrial Goods & Services,Industrials,-0.4700353,SXNP Index,0.650126
DH,SPX LN Equity,0,-0.6,Industrial Engineering,Industrial Goods & Services,Industrials,-0.1549187,SXNP Index,0.650126
DH,SRT3 GR Equity,0,-0.5,Industrial Engineering,Industrial Goods & Services,Industrials,3.369906,SXNP Index,0.650126
DH,STMN SW Equity,0,-0.2,Health Care Equipment & Services,Health Care,Health Care,0.4707465,SXDP Index,0.9666694
DH,SU FP Equity,0,-4.4,Electronic & Electrical Equipment,Industrial Goods & Services,Industrials,0.7698888,SXNP Index,0.650126
DH,SXS LN Equity,0,-0.4,Electronic & Electrical Equipment,Industrial Goods & Services,Industrials,-0.1162791,SXNP Index,0.650126
DH,TATE LN Equity,0,-0.1,Food Producers,Food & Beverage,Consumer Goods,1.38164,SX3P Index,1.030116
DH,TECN SW Equity,0,-0.1,Health Care Equipment & Services,Health Care,Health Care,0.25,SXDP Index,0.9666694
DH,TEF SM Equity,0,-5.6,Fixed Line Telecommunications,Telecommunications,Telecommunications,2.180212,SXKP Index,1.884442
DH,TEN IM Equity,108.6,0,Industrial Metals & Mining,Basic Resources,Basic Materials,1.598465,SXPP Index,-0.653875
DH,TEP FP Equity,0,-0.9,Support Services,Industrial Goods & Services,Industrials,0.6583278,SXNP Index,0.650126
DH,TKA GR Equity,0,-1.1,General Industrials,Industrial Goods & Services,Industrials,-0.0481232,SXNP Index,0.650126
DH,TL5 SM Equity,0,-0.3,Media,Media,Consumer Services,0.9036995,SXMP Index,0.5542246
DH,TPK LN Equity,0,-0.4,Support Services,Industrial Goods & Services,Industrials,-0.3584229,SXNP Index,0.650126
DH,TPZ SM Equity,25,0,Travel & Leisure,Travel & Leisure,Consumer Services,0,SXTP Index,0.6633038
DH,TRE SM Equity,0,-0.2,"Oil Equipment, Services & Distribution",Oil & Gas,Oil & Gas,0.9754335,SXEP Index,1.100116
DH,TRELB SS Equity,0,-0.5,Industrial Engineering,Industrial Goods & Services,Industrials,-0.7482629,SXNP Index,0.650126
DH,UBI IM Equity,0,-0.2,Banks,Banks,Financials,1.256512,SX7P Index,0.6701741
DH,UCB BB Equity,0,-0.3,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.2994909,SXDP Index,0.9666694
DH,UCG IM Equity,0,-2.1,Banks,Banks,Financials,2.990733,SX7P Index,0.6701741
DH,UDG LN Equity,0,-0.1,Health Care Equipment & Services,Health Care,Health Care,2.003643,SXDP Index,0.9666694
DH,UG FP Equity,0,-2.7,Automobiles & Parts,Automobiles & Parts,Consumer Goods,2.6653,SXAP Index,0.5500247
DH,UNA NA Equity,0,-0.7,Personal Goods,Personal & Household Goods,Consumer Goods,1.157651,SXQP Index,1.072337
DH,URW NA Equity,0,-0.3,Real Estate Investment Trusts,Real Estate,Financials,0.4312668,SX86P Index,0.3669621
DH,VACN SW Equity,0,-0.3,Industrial Engineering,Industrial Goods & Services,Industrials,0.7739938,SXNP Index,0.650126
DH,VIFN SW Equity,0,-0.2,Pharmaceuticals & Biotechnology,Health Care,Health Care,1.27186,SXDP Index,0.9666694
DH,VIS SM Equity,0,-1,Food Producers,Food & Beverage,Consumer Goods,1.626712,SX3P Index,1.030116
DH,VIV FP Equity,0,-0.2,Media,Media,Consumer Services,-0.484966,SXMP Index,0.5542246
DH,VOLVB SS Equity,0,-2.4,Industrial Engineering,Industrial Goods & Services,Industrials,-0.1074884,SXNP Index,0.650126
DH,VOW3 GR Equity,0,-6.6,Automobiles & Parts,Automobiles & Parts,Consumer Goods,-0.09845288,SXAP Index,0.5500247
DH,VPK NA Equity,0,-0.3,Industrial Transportation,Industrial Goods & Services,Industrials,0.6870229,SXNP Index,0.650126
DH,WDH DC Equity,0,-0.1,Health Care Equipment & Services,Health Care,Health Care,0.07886435,SXDP Index,0.9666694
DH,WDI GR Equity,0,-1.7,Support Services,Industrial Goods & Services,Industrials,-0.1097695,SXNP Index,0.650126
DH,WEIR LN Equity,0,-0.6,Industrial Engineering,Industrial Goods & Services,Industrials,0.514668,SXNP Index,0.650126
DH,WRT1V FH Equity,0,-0.8,Industrial Engineering,Industrial Goods & Services,Industrials,-0.4524887,SXNP Index,0.650126
GJ,9999996D US Equity,0,-2.1,General Retailers,Retail,Consumer Services,0,SXRP Index,0.6456596
GJ,A2A IM Equity,0,-0.7,Electricity,Utilities,Utilities,2.43735,SX6P Index,1.683118
GJ,AAL US Equity,0,-2.1,Travel & Leisure,Travel & Leisure,Consumer Services,-1.590198,SXTP Index,0.6633038
GJ,AAPL US Equity,0,-2.1,Technology Hardware & Equipment,Technology,Technology,-1.741639,SX8P Index,0.2669742
GJ,ABI BB Equity,0,-0.3,Beverages,Food & Beverage,Consumer Goods,0.9249624,SX3P Index,1.030116
GJ,AC FP Equity,0,-2.2,Travel & Leisure,Travel & Leisure,Consumer Services,1.332382,SXTP Index,0.6633038
GJ,ACA FP Equity,0,-3.4,Banks,Banks,Financials,0.3514938,SX7P Index,0.6701741
GJ,AD NA Equity,0,-0.1,Food & Drug Retailers,Retail,Consumer Services,0.07401925,SXRP Index,0.6456596
GJ,ADBE US Equity,0,-2.1,Software & Computer Services,Technology,Technology,-0.5138535,SX8P Index,0.2669742
GJ,ADI US Equity,0,-4.2,Technology Hardware & Equipment,Technology,Technology,-1.868965,SX8P Index,0.2669742
GJ,ADP US Equity,0,-2.1,Support Services,Industrial Goods & Services,Industrials,-0.8898116,SXNP Index,0.650126
GJ,ADS GR Equity,0,-26.2,Personal Goods,Personal & Household Goods,Consumer Goods,0.08132285,SXQP Index,1.072337
GJ,ADSK US Equity,0,-2.1,Software & Computer Services,Technology,Technology,-0.227445,SX8P Index,0.2669742
GJ,AI FP Equity,0,-12.1,Chemicals,Chemicals,Basic Materials,0.4207574,SX4P Index,0.5173808
GJ,AIR FP Equity,0,-15.3,Aerospace & Defense,Industrial Goods & Services,Industrials,0.05117184,SXNP Index,0.650126
GJ,ALGN US Equity,0,-2.1,Health Care Equipment & Services,Health Care,Health Care,-0.470201,SXDP Index,0.9666694
GJ,ALV GR Equity,0,-0.3,Nonlife Insurance,Insurance,Financials,2.055183,SXIP Index,1.062417
GJ,ALXN US Equity,0,-2.1,Pharmaceuticals & Biotechnology,Health Care,Health Care,0.608,SXDP Index,0.9666694
GJ,AMAT US Equity,0,-4.2,Technology Hardware & Equipment,Technology,Technology,-1.926445,SX8P Index,0.2669742
GJ,AMD US Equity,0,-2.1,Technology Hardware & Equipment,Technology,Technology,-1.055409,SX8P Index,0.2669742
